Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
1993,11,13,00:16:52,16.3936,-98.6557,39.7,6,"NEAR COAST OF GUERRERO, MEXICO",753149812
1994,07,04,21:36:39,14.9247,-97.2938,0.5,6,"OFF COAST OF OAXACA, MEXICO",773357799
1995,06,30,11:59:00,24.7487,-110.2461,29.3,6,"BAJA CALIFORNIA, MEXICO",804513540
1995,09,06,22:48:50,15.0596,-94.1992,15.5,6,"NEAR COAST OF OAXACA, MEXICO",810427730
1997,12,16,11:48:31,16.1985,-98.8127,19,6,"NEAR COAST OF GUERRERO, MEXICO",882272911
1998,04,20,22:59:16,18.5628,-101.1807,77.1,6,"GUERRERO, MEXICO",893113156
2000,12,04,04:43:09,14.88,-93.959,33,6,"NEAR COAST OF CHIAPAS, MEXICO",975904989
2001,11,13,09:47:35,22.383,-106.954,17.7,6,"NEAR COAST OF CENTRAL MEXICO",1005644855
2002,01,30,08:42:30,24.4,-95.6,120,6,"GULF OF MEXICO",1012380150
2003,07,17,19:57:13,18.5205,-107.0692,10,6,"OFF COAST OF JALISCO, MEXICO",1058471833
2004,01,01,23:31:48,17.5937,-101.3577,27.3,6,"NEAR COAST OF GUERRERO, MEXICO",1072999908
2006,04,04,02:30:28,18.7473,-107.0464,33.7,6,"OFF COAST OF JALISCO, MEXICO",1144117828
2006,08,11,14:30:41,18.5391,-101.0697,60.4,6,"GUERRERO, MEXICO",1155306641
2007,04,13,05:42:23,17.2424,-100.2031,35.4,6,"GUERRERO, MEXICO",1176442943
2011,02,25,13:07:26,17.8214,-95.1708,130.6,6,"OAXACA, MEXICO",1298639246
2011,07,26,17:44:21,25.09,-109.5366,17,6,"GULF OF CALIFORNIA",1311702261
2012,10,08,06:26:23,25.0882,-109.6135,17,6,"GULF OF CALIFORNIA",1349677583
2016,04,25,07:07:08,14.479,-93.1509,16,6,"NEAR COAST OF CHIAPAS, MEXICO",1461568028
2020,01,05,04:40:49,16.4501,-94.3597,87,5.9,"OAXACA, MEXICO",1578199249
2019,08,14,21:35:18,20.4598,-109.3606,10,5.9,"REVILLA GIGEDO ISLANDS REGION",1565818518
1970,02,04,05:08:48,15.57,-99.48,18,5.9,"OFF COAST OF GUERRERO, MEXICO",2956128
1975,11,15,15:28:31,18.2284,-102.22,44,5.9,"MICHOACAN, MEXICO",185297311
1980,12,29,08:57:55,16.0233,-98.0113,49,5.9,"NEAR COAST OF GUERRERO, MEXICO",346928275
1984,07,02,04:50:44,16.8217,-98.4641,46.4,5.9,"NEAR COAST OF GUERRERO, MEXICO",457591844
1986,07,13,09:12:12,15.9777,-93.9582,102.8,5.9,"NEAR COAST OF CHIAPAS, MEXICO",521629932
1995,10,12,16:52:53,18.8427,-103.9836,16.1,5.9,"NEAR COAST OF MICHOACAN, MEXICO",813516773
1999,12,29,05:19:46,18.24,-101.495,66.7,5.9,"GUERRERO, MEXICO",946444786
2000,07,21,06:13:39,18.29,-98.97,66.2,5.9,"CENTRAL MEXICO",964160019
2001,10,08,03:39:18,17.049,-100.069,10.9,5.9,"GUERRERO, MEXICO",1002512358
2002,01,30,08:42:02,18.229,-95.883,100.6,5.9,"VERACRUZ, MEXICO",1012380122
2002,04,18,17:57:22,16.928,-101.428,11.1,5.9,"NEAR COAST OF GUERRERO, MEXICO",1019152642
2003,01,22,19:41:44,18.9414,-104.2975,45.7,5.9,"NEAR COAST OF JALISCO, MEXICO",1043264504
2004,06,14,22:54:20,16.4603,-97.9041,7.7,5.9,"OAXACA, MEXICO",1087253660
2004,09,24,14:43:09,28.6851,-112.6882,2.2,5.9,"GULF OF CALIFORNIA",1096036989
2005,05,08,17:07:37,20.427,-109.1416,28.2,5.9,"REVILLA GIGEDO ISLANDS REGION",1115572057
2006,07,30,01:20:58,26.687,-111.2506,10,5.9,"GULF OF CALIFORNIA",1154222458
2007,02,25,15:00:42,26.2051,-110.2917,10,5.9,"GULF OF CALIFORNIA",1172415642
2007,03,13,02:59:01,26.139,-110.6378,10,5.9,"GULF OF CALIFORNIA",1173754741
2009,07,03,11:00:16,25.2195,-109.6181,17,5.9,"GULF OF CALIFORNIA",1246618816
2010,10,20,04:09:43,24.5903,-109.1268,10,5.9,"GULF OF CALIFORNIA",1287547783
2013,06,16,05:19:00,18.1653,-99.1506,55,5.9,"GUERRERO, MEXICO",1371359940
2018,02,19,06:57:01,16.4993,-97.579,40.2,5.9,"OAXACA, MEXICO",1519023421
2018,06,30,03:56:49,19.0163,-105.1171,15,5.9,"NEAR COAST OF JALISCO, MEXICO",1530331009
1970,04,30,08:33:01,14.61,-93.29,37,5.8,"NEAR COAST OF CHIAPAS, MEXICO",10312381
1975,07,08,09:37:28,29.4856,-113.396,36.5,5.8,"GULF OF CALIFORNIA",174044248
1975,08,19,14:57:11,16.2425,-94.0732,78.9,5.8,"OAXACA, MEXICO",177692231
1978,03,19,01:39:14,17.0552,-99.7347,41.1,5.8,"GUERRERO, MEXICO",259119554
1979,01,26,10:04:33,17.5323,-100.7871,45.1,5.8,"GUERRERO, MEXICO",286193073
1980,11,13,02:41:18,15.5778,-99.2539,5,5.8,"OFF COAST OF GUERRERO, MEXICO",342931278
1993,09,30,18:27:51,15.1799,-94.8565,30.3,5.8,"NEAR COAST OF OAXACA, MEXICO",749413671
1996,03,19,17:12:38,15.8533,-97.289,3.1,5.8,"NEAR COAST OF OAXACA, MEXICO",827255558
2004,02,18,10:59:18,23.7235,-108.8105,10,5.8,"GULF OF CALIFORNIA",1077101958
2004,08,07,11:49:11,17.3222,-95.2659,99.8,5.8,"OAXACA, MEXICO",1091879351
2004,08,18,09:03:08,16.4456,-95.0148,61.5,5.8,"OAXACA, MEXICO",1092819788
2006,06,27,13:03:13,15.1026,-94.1203,33.9,5.8,"NEAR COAST OF OAXACA, MEXICO",1151413393
2007,11,26,21:56:10,18.7572,-101.5563,70.2,5.8,"GUERRERO, MEXICO",1196114170
2008,04,28,00:06:30,17.9941,-99.9706,76.5,5.8,"GUERRERO, MEXICO",1209341190
2009,04,27,16:46:27,16.9557,-99.5717,31.7,5.8,"NEAR COAST OF GUERRERO, MEXICO",1240850787
2010,10,20,06:58:14,24.5212,-109.0883,10,5.8,"GULF OF CALIFORNIA",1287557894
2011,08,13,07:33:09,14.4358,-94.8285,29.5,5.8,"OFF COAST OF CHIAPAS, MEXICO",1313220789
2012,05,01,16:37:57,18.2888,-101.07,64,5.8,"GUERRERO, MEXICO",1335890277
2014,03,10,00:38:15,15.9152,-98.378,17,5.8,"OFF COAST OF GUERRERO, MEXICO",1394411895
2014,05,21,10:06:13,17.106,-94.9855,123.1,5.8,"CHIAPAS, MEXICO",1400666773
2016,05,08,07:34:00,16.4107,-97.8416,22,5.8,"OAXACA, MEXICO",1462692840
2016,06,02,02:23:05,18.0217,-105.8338,10,5.8,"OFF COAST OF JALISCO, MEXICO",1464834185
2017,09,23,10:38:05,15.4897,-94.4287,53.8,5.8,"NEAR COAST OF OAXACA, MEXICO",1506163085
2017,09,24,10:06:12,15.3335,-94.0996,55,5.8,"NEAR COAST OF OAXACA, MEXICO",1506247572
2018,02,09,14:05:48,18.9343,-104.649,12,5.8,"NEAR COAST OF JALISCO, MEXICO",1518185148
2018,02,17,00:36:52,16.1583,-97.8817,4.3,5.8,"OAXACA, MEXICO",1518827812
2018,07,19,13:31:53,17.9479,-97.7364,49.8,5.8,"OAXACA, MEXICO",1532007113
2019,05,31,11:57:24,18.7319,-107.1693,10,5.8,"OFF COAST OF JALISCO, MEXICO",1559303844
2022,03,03,14:40:32,18.1963,-95.3924,109.5,5.7,"VERACRUZ, MEXICO",1646318432
2021,09,23,16:47:48,23.0032,-107.9359,10,5.7,"GULF OF CALIFORNIA",1632415668
2021,07,04,02:45:01,21.2014,-106.1349,45.6,5.7,"OFF COAST OF CENTRAL MEXICO",1625366701
2021,03,20,03:06:33,16.6531,-98.8124,28.3,5.7,"NEAR COAST OF GUERRERO, MEXICO",1616209593
1970,07,18,10:46:09,18.1,-100.5,103,5.7,"GUERRERO, MEXICO",17145969
1972,10,20,08:17:49,18.7944,-106.7437,35.4,5.7,"OFF COAST OF JALISCO, MEXICO",88417069
1976,02,01,11:14:56,17.1502,-100.2256,47.5,5.7,"GUERRERO, MEXICO",192021296
1977,09,21,13:15:58,19.9669,-109.2599,52.5,5.7,"REVILLA GIGEDO ISLANDS REGION",243695758
1978,11,29,20:49:47,16.2212,-96.6072,9,5.7,"OAXACA, MEXICO",281220587
1979,06,04,06:26:44,15.705,-93.6336,90.9,5.7,"NEAR COAST OF CHIAPAS, MEXICO",297325604
1979,07,21,12:12:11,13.9844,-93.3681,11,5.7,"OFF COAST OF CHIAPAS, MEXICO",301407131
1980,12,31,17:34:19,16.2,-100.1,6,5.7,"NEAR COAST OF GUERRERO, MEXICO",347132059
1981,01,04,06:21:50,16.8,-101.5,18,5.7,"NEAR COAST OF GUERRERO, MEXICO",347437310
1981,03,09,22:38:51,18.819,-103.9481,53.3,5.7,"NEAR COAST OF MICHOACAN, MEXICO",353025531
1983,02,22,09:36:44,16.0304,-95.3296,35.9,5.7,"OAXACA, MEXICO",414754604
1983,08,06,02:26:49,16.0992,-93.9102,87.7,5.7,"CHIAPAS, MEXICO",428984809
1987,03,12,12:18:12,15.6773,-94.5549,38.1,5.7,"NEAR COAST OF OAXACA, MEXICO",542549892
1993,09,19,14:10:59,14.4428,-93.307,35.9,5.7,"NEAR COAST OF CHIAPAS, MEXICO",748447859
1995,04,14,00:32:54,30.2885,-103.3188,4.6,5.7,"WESTERN TEXAS",797819574
2000,02,21,16:29:38,18.542,-107.051,24.4,5.7,"OFF COAST OF JALISCO, MEXICO",951150578
2005,02,28,01:05:59,18.877,-104.4656,29.8,5.7,"NEAR COAST OF JALISCO, MEXICO",1109552759
2005,06,05,08:28:49,23.7516,-108.3702,10,5.7,"GULF OF CALIFORNIA",1117960129
2007,05,23,19:09:14,21.8906,-96.3141,4.6,5.7,"GULF OF MEXICO",1179947354
2009,10,29,10:52:56,18.9512,-95.6266,17.7,5.7,"VERACRUZ, MEXICO",1256813576
2010,02,09,00:47:39,15.9785,-96.7683,33.2,5.7,"NEAR COAST OF OAXACA, MEXICO",1265676459
2010,10,20,04:15:35,24.5146,-109.1891,10,5.7,"GULF OF CALIFORNIA",1287548135
2011,05,05,13:24:07,16.7007,-98.8024,31.5,5.7,"NEAR COAST OF GUERRERO, MEXICO",1304601847
2012,08,09,02:34:40,19.812,-109.185,10,5.7,"REVILLA GIGEDO ISLANDS REGION",1344479680
2013,01,13,16:28:28,25.8176,-110.1578,19,5.7,"GULF OF CALIFORNIA",1358094508
2013,09,26,06:46:03,14.3267,-93.4729,10.1,5.7,"NEAR COAST OF CHIAPAS, MEXICO",1380177963
2014,05,24,08:24:46,16.4865,-98.2504,12.3,5.7,"NEAR COAST OF GUERRERO, MEXICO",1400919886
2015,08,05,09:13:22,16.0312,-93.8022,105.6,5.7,"CHIAPAS, MEXICO",1438766002
2015,09,08,08:03:53,14.337,-94.137,5,5.7,"OFF COAST OF CHIAPAS, MEXICO",1441699433
2016,06,27,20:50:34,16.5502,-97.8332,19,5.7,"OAXACA, MEXICO",1467060634
2017,03,29,15:15:23,25.7127,-110.0237,17,5.7,"GULF OF CALIFORNIA",1490800523
2017,05,20,06:02:14,17.4895,-105.3231,10,5.7,"OFF COAST OF JALISCO, MEXICO",1495260134
2017,05,20,17:58:46,17.1041,-94.0616,144,5.7,"CHIAPAS, MEXICO",1495303126
2017,09,08,05:01:33,15.1746,-94.2707,35.9,5.7,"NEAR COAST OF OAXACA, MEXICO",1504846893
2017,09,10,03:07:22,15.3896,-94.5278,29,5.7,"NEAR COAST OF OAXACA, MEXICO",1505012842
2017,11,03,11:52:10,18.7379,-106.6443,10,5.7,"OFF COAST OF JALISCO, MEXICO",1509709930
2019,01,21,11:57:20,15.5944,-94.7318,29,5.7,"NEAR COAST OF OAXACA, MEXICO",1548071840
1970,12,24,08:00:35,15.95,-93.7,105,5.6,"NEAR COAST OF CHIAPAS, MEXICO",30873635
1971,08,12,14:20:42,19.6179,-106.0391,23.6,5.6,"OFF COAST OF JALISCO, MEXICO",50854842
1971,09,30,08:17:59,26.8767,-110.7964,28.9,5.6,"GULF OF CALIFORNIA",55066679
1972,07,08,12:10:53,16.3261,-96.949,44.6,5.6,"OAXACA, MEXICO",79445453
1973,01,22,00:37:59,18.5433,-105.1146,38.3,5.6,"OFF COAST OF JALISCO, MEXICO",96511079
1973,07,03,03:59:52,19.0852,-101.8819,109,5.6,"MICHOACAN, MEXICO",110519992
1973,07,16,18:12:55,17.1828,-100.8548,29.5,5.6,"GUERRERO, MEXICO",111694375
1974,06,25,08:44:45,15.5404,-95.3302,22.8,5.6,"NEAR COAST OF OAXACA, MEXICO",141381885
1974,07,18,19:21:26,17.0569,-98.4189,63,5.6,"GUERRERO, MEXICO",143407286
1976,09,19,20:58:07,18.2347,-100.5118,71.8,5.6,"GUERRERO, MEXICO",212014687
1978,07,05,20:15:17,18.467,-100.0321,75.2,5.6,"GUERRERO, MEXICO",268517717
1979,01,10,13:24:14,16.9497,-93.5787,160.5,5.6,"CHIAPAS, MEXICO",284822654
1980,12,06,15:47:48,15.9969,-99.8108,5,5.6,"OFF COAST OF GUERRERO, MEXICO",344965668
1980,12,28,20:39:53,17.4711,-99.845,3,5.6,"GUERRERO, MEXICO",346883993
1981,08,17,02:18:57,14.4339,-93.7822,22.9,5.6,"NEAR COAST OF CHIAPAS, MEXICO",366862737
1981,09,17,10:09:27,16,-99.8,5,5.6,"NEAR COAST OF GUERRERO, MEXICO",369569367
1983,09,15,10:39:02,16.0606,-93.2369,115.8,5.6,"CHIAPAS, MEXICO",432470342
1984,02,10,16:51:21,28.2922,-112.1429,3,5.6,"GULF OF CALIFORNIA",445279881
1984,12,19,08:50:01,15.904,-94.1788,85.8,5.6,"NEAR COAST OF OAXACA, MEXICO",472294201
1985,10,29,15:02:28,18.1936,-102.5561,43.2,5.6,"MICHOACAN, MEXICO",499446148
1986,05,05,05:46:37,18.1649,-102.6502,39.4,5.6,"MICHOACAN, MEXICO",515655997
1987,03,15,05:11:16,15.6176,-94.5942,37.5,5.6,"NEAR COAST OF OAXACA, MEXICO",542783476
1989,04,19,15:00:33,17.6757,-105.0787,10,5.6,"OFF COAST OF JALISCO, MEXICO",609001233
1989,09,05,06:28:08,14.1932,-93.7726,12.6,5.6,"NEAR COAST OF CHIAPAS, MEXICO",620980088
1993,11,19,02:25:10,14.7925,-94.017,41,5.6,"OFF COAST OF CHIAPAS, MEXICO",753675910
1994,02,23,14:13:49,18.0463,-97.1601,70,5.6,"CENTRAL MEXICO",762012829
1995,06,30,13:41:43,24.4249,-110.2724,10,5.6,"BAJA CALIFORNIA, MEXICO",804519703
1995,09,08,17:25:44,14.8794,-94.2367,0.8,5.6,"OFF COAST OF CHIAPAS, MEXICO",810581144
1996,03,27,12:34:50,16.5713,-98.0071,29.3,5.6,"NEAR COAST OF GUERRERO, MEXICO",827930090
1997,01,16,21:41:09,18.0699,-102.707,42.8,5.6,"MICHOACAN, MEXICO",853450869
2000,03,24,04:23:45,27.56,-111.304,9.4,5.6,"GULF OF CALIFORNIA",953871825
2003,07,02,05:11:35,23.0104,-108.1203,10,5.6,"GULF OF CALIFORNIA",1057122695
2003,08,11,01:17:54,18.4215,-105.9933,9,5.6,"OFF COAST OF JALISCO, MEXICO",1060564674
2003,08,25,23:25:00,18.6194,-106.6038,17,5.6,"OFF COAST OF JALISCO, MEXICO",1061853900
2003,11,12,04:54:57,29.0504,-113.1995,10,5.6,"GULF OF CALIFORNIA",1068612897
